x_values,y_values,word,Cluster,Silhouette
continuous,continuous,string,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10,continuous
,,meta,meta,meta
0.0063222037,0.0027852613,tweeting,C10,0.640231951442997
-0.0010739013,-0.0016264399,rise,C5,0.6457086931347488
0.003975617,0.0013684938,dead,C10,0.5655344675227566
-0.006764146,0.0005140986,need,C6,0.6597946905987059
-0.0025302335,0.0048143696,upgrade,C7,0.5592450475790353
-0.0072201067,-0.0074372697,plugin,C3,0.6311808166719888
-0.003513383,-0.0051116585,station,C3,0.614639863459539
-0.0011509941,-9.326907e-05,hope,C5,0.5988222534221337
0.0009556628,-0.00037853545,year,C8,0.6475593011548882
-0.0016973435,-0.0005346167,festival,C5,0.6499106299310731
-0.003068677,0.0007494917,crashy,C5,0.5026474632222829
-0.0038994069,-0.003072143,noticed,C3,0.5326140426382735
-0.0053441375,-0.0022698564,coming,C3,0.5357848938605264
0.0013036764,0.0016024592,weekend,C8,0.6166914489610116
-0.0018224746,0.0011087775,many,C2,0.5970651950179173
-0.005263746,0.001226591,user,C6,0.6376533984356263
-0.0010402695,6.2738596e-05,hour,C5,0.5746043025746347
-0.00068291125,0.0054235714,late,C7,0.5359721320945996
0.0027092777,0.0030952364,come,C1,0.5880723902302585
-0.0028022912,0.0066579836,sunday,C7,0.6541793656135446
0.004170928,0.0033009574,morning,C1,0.4975201130112503
0.00075400557,0.00034630593,false,C8,0.6453468011523157
0.0008245848,0.0022868568,alarm,C8,0.5098489223914583
-0.0036287308,-0.0020126025,circle,C5,0.6126766898137246
-0.0040283026,0.0025123223,probably,C2,0.5389940202217653
0.0014937477,-0.00032424566,ever,C8,0.6702078785696818
-0.002240942,-0.0009112851,circles,C5,0.6695298920029076
0.013399279,0.0046504033,social,C10,0.5707646166534988
0.0018994171,-0.0042163515,line,C9,0.5613196101564638
0.0029939425,0.003617367,store,C1,0.6266337341998685
0.0018847923,-0.0027277933,insane,C4,0.5019410412096545
0.0025787582,-0.00445076,attending,C4,0.5246023238695742
0.0053230864,-0.0013390344,design,C4,0.5281145380089844
0.0031967757,-0.0049776947,headache,C4,0.5660773708819141
-0.004498691,-4.350016e-05,boooo,C6,0.5251251453794232
-0.0014215711,-0.0036473947,flipboard,C9,0.5683417662593091
-0.0017481457,-3.4150503e-06,developing,C5,0.6052588555563551
0.0041690916,-0.0027164891,version,C4,0.6488306142232093
0.003794139,0.0014253603,android,C10,0.542662736795799
0.0015633093,0.0043043005,say,C1,0.6442057811171573
0.0034190048,-0.0023412376,doe,C4,0.6062648941456453
4.9548788e-05,-0.0033385982,provide,C9,0.6265773631231234
-0.003212638,0.0017025198,charger,C2,0.6081184625996771
0.0018068745,-0.0007718474,changed,C8,0.6630121423223978
-0.0026293152,-0.007987813,mind,C3,0.521886293873141
-0.0070597744,0.0033391644,going,C6,0.6148883178167978
0.0047563436,0.0009836291,next,C10,0.6255105150003936
0.0045788176,-0.0012837921,know,C4,0.5483582317641192
0.0064787227,0.0046491036,dataviz,C10,0.5460448546057781
0.0001434477,0.0004897854,translates,C8,0.5868924943216771
-0.003175888,-0.0014611313,satanic,C5,0.665104539912927
0.006999615,0.0038182705,sayin,C10,0.6017173309712599
-0.0001765734,-0.0053675543,seriously,C9,0.667974782231842
0.002199519,-0.0030790586,testing,C4,0.5358312242543173
-0.0026582214,-0.002574182,mobile,C5,0.6194191962955075
0.0022488674,-0.002661378,apps,C4,0.5533019946900375
-0.00537035,0.0058109593,constant,C7,0.6267005940513406
0.001149931,0.00708199,crash,C1,0.5887072746727614
0.0040389188,-0.0015557944,causing,C4,0.5700066590655799
-0.0024158866,-0.0010750769,lost,C5,0.6730387525981272
0.008147972,0.0007439203,schedule,C10,0.6342412485439684
-0.004987936,0.004998532,sync,C7,0.6064232298253677
0.0024434482,0.004630328,conflagration,C1,0.6668136431454379
0.0013695516,-0.004525874,doofusness,C9,0.6231138381974363
-0.0013705652,-0.0003477961,spent,C5,0.6303681234473574
0.0077267145,0.0021631948,already,C10,0.6511435034280636
-0.0011418922,0.0025425304,used,C2,0.6741380157097979
-5.4960165e-05,0.0017478445,wait,C2,0.571261000612813
-0.0049830717,0.001374227,couple,C6,0.6191679914319108
-0.004634204,-0.0054455725,city,C3,0.6496309219131183
0.0025238853,0.0017374997,block,C8,0.6109185207628529
-0.005899186,-0.00046967051,seen,C6,0.6200795378804058
0.002317583,0.002250005,wild,C8,0.5495826209802857
0.0019859783,-0.0076203295,people,C9,0.5782868137349884
0.004905723,-0.0055522523,fast,C4,0.6200836247106748
-0.005022954,-0.004321744,still,C3,0.6454484329976957
5.7186e-06,0.0035250136,pic,C2,0.5664355232666609
0.005953226,-0.001878576,terrible,C4,0.5674788722921758
-0.0032700165,0.003674758,botch,C2,0.5642935847421383
-0.0054426566,0.0027710146,timechange,C6,0.6019213199361145
0.00030806538,0.00293213,freak,C2,0.5799298682347857
0.00041138093,-0.00388708,flight,C9,0.6586302514585156
-1.0546621e-05,-0.004615802,missed,C9,0.6700251924606206
0.00036457935,-0.0035372765,panel,C9,0.6443823583406192
-0.002433175,-0.002323008,behind,C5,0.6456322801032088
-0.002047331,0.00010206276,bloody,C5,0.5969948994194659
0.0023604399,0.0013337474,mary,C8,0.6398318224270343
0.0027185366,0.0016997292,meant,C8,0.5972649462470656
0.0008849892,-0.00015412572,also,C8,0.6498223490656253
-0.00051736354,0.0022990908,wish,C2,0.6436714682175364
-0.0070252507,-0.0050259302,dyac,C3,0.6431325295966431
-0.0058942647,0.0057095075,stupid,C7,0.602089111204343
-0.0029827005,0.007977743,found,C7,0.6568304135713843
-0.00100176,0.0027779716,kyping,C2,0.6698686300878889
0.00015446647,0.004843607,geolocation,C1,0.5650644114026286
-0.001007649,-0.00025461082,releasing,C5,0.6104584799543394
0.0061250958,0.007035529,background,C1,0.5607649927287236
-0.0029160932,-0.001699561,patch,C5,0.6650864075138623
-0.0024422223,0.002243995,batterykiller,C2,0.660645915818891
0.006236221,0.0021909638,course,C10,0.6584711690393776
-0.0024735208,-0.0035433462,built,C3,0.4783101082085998
-0.00012961627,-0.0029078587,temp,C9,0.5800730959815501
0.005036256,-0.0009874349,texas,C10,0.512642299827272
0.00033058415,-0.003499242,understand,C9,0.6420488125386978
-0.008790005,0.003949253,concept,C6,0.5926842993647461
0.0028253396,0.0034801709,corralling,C1,0.6221661491345537
0.0035121718,-0.0073006675,cattle,C4,0.5076357892804924
-0.0038046995,0.0045445752,pickmeupanipad,C7,0.567383773295227
0.003220792,0.000811203,opening,C8,0.5776990967657479
-0.003303571,-0.000496854,temporary,C5,0.640270598290242
-0.0059964173,0.001996325,downtown,C6,0.6466554711620459
-0.009448114,0.0037880004,launch,C6,0.597798620636903
-0.0020506978,0.0029386634,traffic,C2,0.6695972453898029
0.0048918556,0.0013219309,mall,C10,0.6370617273983648
-0.0027064208,-0.0077022105,crowded,C3,0.5287998464579644
-0.002769514,-0.009067788,fake,C3,0.5230237484677657
0.0018232957,-0.0017642049,fucking,C8,0.5883479529970005
0.0037068033,-0.0051721735,dongle,C4,0.5923789125493707
0.001162793,-0.0015513019,genius,C8,0.6075164131405457
-4.1865347e-05,-0.0047047934,news,C9,0.6706316393375165
-0.0031832969,0.0021717867,last,C2,0.631343472341265
0.0048046396,0.0028631608,overheard,C10,0.5968463087085363
0.0018980867,0.004342847,interactive,C1,0.6564910248750614
-0.00025296377,-0.0041723363,hate,C9,0.657302177195112
0.001161728,0.005562541,want,C1,0.6424444810967013
0.004052817,0.0006584125,blackberry,C10,0.5496368788497246
0.00061296794,0.0013763927,back,C8,0.5728081773684627
-0.0020625044,-0.004707217,shocked,C9,0.5471665989586074
0.0001394812,-0.0036886758,cool,C9,0.6482560332817588
-0.0012634648,0.0015849266,technology,C2,0.6479088376186283
0.0015019155,0.0012521415,heard,C8,0.6460578808734814
-0.0018569424,0.0010991545,conference,C2,0.594961503355978
-0.0019960185,-0.003303068,second,C5,0.5258340789254652
-0.0026906633,0.0034056026,halfway,C2,0.6198723348190677
-0.0046501174,0.0031456903,battery,C6,0.5194515807458593
0.0046397485,0.0023075466,even,C10,0.6244361495568264
2.5321542e-05,-0.00024767965,boarded,C8,0.5554388717897966
-0.0061193584,0.0013274895,plane,C6,0.6606669082289551
0.0036547212,-0.0033179696,amateurhour,C4,0.6486084836258461
0.0037021255,0.004610375,took,C1,0.6253185071477247
0.006214461,-0.0002907956,away,C10,0.6121911964318536
0.0035056432,0.003155224,lego,C1,0.5560614130486474
-0.003802835,0.001203077,replaced,C6,0.4768588361076721
0.0049508573,-0.0024450405,recharging,C4,0.6393442348120618
0.0035751774,-0.0022828034,might,C4,0.6096679243810889
0.0012078164,-0.0067733806,check,C9,0.6214678011229766
-0.0077173,-0.00048136714,price,C6,0.6410752402503648
0.0031366495,-0.00021288537,crap,C8,0.6121179815846823
-0.0017681238,0.0035413,samsung,C2,0.6368537095506953
0.0024631242,0.004312352,show,C1,0.6607314382715476
-0.008048454,0.004042162,process,C6,0.5847204458624055
0.001520707,0.0022990203,poos,C8,0.5604149441376527
-0.003887451,-0.0008462868,idea,C5,0.6087422842306982
0.0024784645,0.0016708502,leaf,C8,0.6186273862397402
-0.0065719527,-0.0017138006,early,C6,0.5610623940954791
-0.004085963,-5.6919785e-06,creative,C5,0.5346517316879175
0.0006143831,-0.0068953265,busy,C9,0.6374234889939576
-0.0012197034,0.0037439836,gamestorming,C2,0.628310600904431
0.002701866,0.0011150384,trying,C8,0.6229705786331926
0.0007180059,0.0005051851,balance,C8,0.6378824945278662
-8.591408e-05,-0.0026840963,power,C9,0.5548778488427135
0.002619273,-0.000119440134,suck,C8,0.6509360318015637
0.0028577934,-0.0046611507,quick,C4,0.5490206652334079
0.004934919,0.00010613863,airplane,C10,0.6117304746055615
0.0011284273,0.0040579424,mode,C1,0.6121504861257167
-0.0028810634,0.0009452739,keep,C2,0.536937961926928
0.00082509796,-0.00092907983,tweet,C8,0.6157543312616003
-0.0013006408,0.003103307,thanks,C2,0.6702105455787046
-0.00062882935,-0.0044767675,precommerce,C9,0.6550850977006903
0.008518446,0.0036624642,best,C10,0.6104969614369079
0.005965717,-0.010949724,thing,C4,0.5264797059335795
0.004139361,0.0056223734,gave,C1,0.6223594434171859
0.004737858,-0.001223761,money,C4,0.5339566029585747
-0.0011229815,0.0034920417,japan,C2,0.6485190482551072
0.0074437293,-0.00043283915,relief,C10,0.5966049694261305
0.0024360723,0.002147117,bing,C8,0.5623574443871969
