word,x_values,y_values,count
opening,4.116081,-3.213979,256
midnight,0.060141217,-0.2934891,13
say,4.3928905,0.64856416,114
publishing,1.1403657,0.0725134,15
platform,3.2563584,0.35832658,72
help,3.2881188,-0.25321618,64
this,3.6989372,0.017822811,118
account,0.79991126,-0.0790941,12
what,3.4132001,-0.058734234,127
musedchat,1.6788458,0.13422184,34
sxswi,4.595908,0.39537922,341
classical,1.0569106,0.15520974,31
newtwitter,0.70166856,0.110969335,33
location,4.089268,0.817044,147
based,3.034126,0.2891106,59
fast,3.1741478,0.3130868,74
future,2.8510294,0.565894,102
will,2.4300327,1.2055548,83
connect,1.4855732,0.80560493,45
digital,3.7874615,0.7667422,89
physical,2.1472735,0.4603301,47
world,3.5047622,0.2790741,92
through,0.5825001,0.21855211,30
talking,1.8533335,0.17445864,39
system,1.6436286,0.011174249,19
tweet,4.6086755,0.44051513,138
speak,1.6707684,0.35480446,41
mark,0.6668814,0.19485506,23
belinsky,0.5164156,0.25466135,26
panel,4.696232,0.30551428,159
stop,2.4864764,-0.11853691,56
chance,1.5813531,-0.117328055,37
kawasaki,1.4314103,-0.08216016,22
talk,4.7479424,0.14132543,144
internet,1.1465845,-0.10452747,31
search,4.5377936,1.2929987,155
heard,2.2571585,-1.0106103,95
pic,1.5893909,-0.37344128,33
already,2.9720652,-0.63609517,74
would,4.327085,-0.3957804,126
interesting,2.2190232,0.8900381,72
actually,0.85290045,-0.12929623,27
agree,0.8090142,-0.034703594,16
town,1.3625532,-0.19340597,29
album,0.45315465,-0.033678744,15
wanna,0.74963087,-0.11664149,26
drink,1.8363513,-0.12162394,44
join,3.0366786,0.26076233,66
attending,0.868579,-0.17120025,31
headache,0.8270027,-0.112551056,33
flipboard,2.6102545,0.067820266,60
developing,0.20370857,0.0600809,11
version,1.5948248,0.06953442,41
power,2.39926,0.02528824,43
value,1.3529345,-0.011555379,20
service,2.6071777,0.8522029,67
pnid,0.58074194,0.001017314,18
stand,0.75468695,-0.05332606,15
blogger,1.3700343,0.06827686,23
shirt,1.0924181,-0.033124007,20
band,1.9123933,0.027958512,44
food,2.0254688,-0.004568556,41
cream,0.55576247,0.0914711,14
interactive,2.4955323,0.23107791,71
map,4.4639645,1.8021011,221
groupon,0.8324144,0.58601916,22
reward,1.3943576,0.52475744,41
type,1.2493213,0.5181984,29
news,3.839818,0.83235234,171
traffic,2.091285,-0.039159175,42
site,2.5623534,0.32703453,49
doubt,0.18711278,0.106726594,11
last,4.242194,-0.26817837,125
weird,0.73359495,-0.05449514,14
name,1.0621797,0.053908464,18
phone,4.2556643,-0.09772615,127
droid,0.67630744,-0.066929504,22
laptop,3.637131,-0.15855274,68
follow,2.4159334,-0.18820734,48
launching,2.4878445,2.3671005,108
denies,-0.16729058,0.36255792,11
debut,0.117112346,0.13595393,11
report,1.2731768,0.041632593,38
post,2.5942638,0.053827222,65
easy,1.1171942,0.026845274,18
yesterday,0.9955002,-0.042981774,27
popup,4.0211396,-3.3320837,211
fan,0.4275799,-0.1016352,15
space,1.8021114,0.026470242,28
tomorrow,2.335045,-0.67919177,72
thing,4.168409,-0.27175885,128
earth,1.3028536,-0.0030127626,18
face,0.24562536,0.065924175,13
company,3.4254117,0.020483425,64
stay,0.99332553,0.038785007,25
showcase,0.23799713,-0.036777124,11
ckers,0.93872094,0.23072508,23
thank,1.4349043,-0.18099791,33
touchingstories,1.3414528,-0.05874981,31
here,1.6498985,0.049133614,53
thanks,3.9279268,-0.13250655,141
trying,2.0742202,-0.08112178,43
contact,1.14705,-0.035929974,18
japan,4.838406,-0.04872494,116
created,0.55869716,-0.004922051,12
person,2.0874326,-0.24394932,51
finder,0.38174522,-0.0022504611,11
mention,0.6985261,-0.1592872,14
speech,1.1218026,-0.069048256,23
conf,0.5259778,-0.090201214,14
sxswh,0.6029833,0.03287561,18
blog,1.9829106,-0.02089834,44
charger,2.3631866,-0.27521524,58
changed,0.3640944,0.016809398,11
mind,1.4277915,0.0015819349,20
next,4.44849,-0.068302386,151
wonder,1.7918702,-0.077900566,47
tip,0.45957977,0.0009964918,13
shiny,0.21787149,0.0004812653,12
nerd,1.65998,-0.1048044,47
cont,1.067198,-0.2714511,41
another,1.3095384,0.3968638,52
local,1.482106,0.17194358,34
industry,1.4195002,0.03659985,39
gsdm,2.7338421,0.22770494,68
buzz,1.3858194,0.44910333,38
have,1.8929012,-0.072536156,39
could,3.1885371,0.20674795,83
seen,2.3840873,-0.1591219,55
opened,0.51463646,-0.5047638,24
ipads,3.1603625,-1.2040538,89
launched,1.211399,0.4952379,39
checkins,1.1106572,0.0865337,31
month,1.8165818,0.05225175,31
bizzy,-0.1495366,0.02090089,14
left,2.1305025,-0.13627777,55
brain,1.1920738,0.42186666,42
bettersearch,0.17673337,0.1051891,15
engine,1.4719061,0.23964037,22
content,3.182453,-0.032374244,52
existence,0.8303128,-0.0028912567,14
saved,0.8034955,-0.06274173,18
enchantment,1.1389524,-0.011517742,26
award,1.1347979,-0.011248441,30
read,1.3753467,0.07960248,33
thought,1.8004456,-0.008553975,40
earthquake,1.7475845,0.04762823,29
tsunami,0.66759396,-0.026511287,13
school,1.5671071,-0.33193982,45
marketing,2.4025352,-0.3350994,68
expert,1.1162883,-0.15902045,37
cnet,0.6733304,0.15232459,25
temporary,4.5787883,-2.9783077,265
congress,2.727902,-1.8294367,103
happy,2.2336907,-0.08789312,46
hipster,1.9085585,-0.11854189,34
win,2.3520195,-0.7137937,84
support,0.77220887,-0.10059854,15
that,2.4785097,-0.18625638,56
headed,0.32265812,-0.08002158,15
enjoy,0.81169313,-0.13052465,22
funny,1.1913278,-0.05261362,26
only,1.0730394,-0.12896304,27
matter,0.69774187,0.088368885,13
minute,1.6468551,-0.27312642,34
point,1.7071333,0.07385048,27
least,0.90018564,-0.019112077,22
twitter,4.0125227,0.3791094,100
devs,0.591656,-0.08044571,13
maybe,1.2035002,0.22042438,34
together,0.87941283,0.0008918895,18
cool,3.8844812,-0.83716536,151
uxdes,1.1203746,-0.039649133,40
remember,0.53428966,-0.035108224,11
audience,1.458266,0.05782028,24
experience,2.9064682,-0.010082014,41
part,1.4605068,0.052504968,20
waiting,1.7115905,-0.64821047,53
mine,0.6510124,-0.030175623,13
download,3.0001335,-0.5150028,113
doe,0.80152893,-0.01387417,27
place,3.4000401,0.12334028,72
seo,0.966128,0.1438662,17
samsung,0.8139383,-0.07652113,22
atx,0.44638857,-0.1807631,18
south,1.3039155,0.0781718,32
get,2.445822,-0.35701427,62
movie,0.39234495,-0.061049677,12
amazing,2.2280784,-0.053076938,43
focus,1.019505,-0.016607912,15
chat,0.66859555,0.08582186,18
share,2.0779963,-0.015800973,45
info,2.605664,-0.09226021,49
turn,1.8596127,-0.22056219,35
business,2.7089615,0.0339516,49
card,2.7362645,-0.14487956,46
sold,1.838558,-0.5221179,48
model,1.0659391,-0.07639245,19
beta,1.4303327,-0.031670585,25
testing,0.59018534,0.015749572,14
away,3.3169916,-0.24370104,81
wifi,1.7488953,-0.21454452,39
black,0.714637,-0.059088875,16
cover,0.57270527,-0.075198695,11
house,1.7313044,0.04354811,29
wondering,0.7465869,-0.0648027,20
worth,1.1326133,-0.0056385277,18
convention,1.636715,-0.10923222,48
center,1.3342772,0.057524145,44
everything,1.6665379,-0.057298698,33
except,1.0116487,-0.14483371,21
white,2.9088173,-0.3936173,61
promo,0.66205454,-0.050327215,11
suck,0.62862223,0.06065279,17
film,1.4460293,-0.118961446,22
selling,0.96570516,-0.5160268,32
poursite,0.4225071,0.036875967,12
learning,0.65975654,0.018409716,17
life,2.599725,-0.0042298106,48
impact,0.63175976,0.031379953,12
real,1.7415448,0.17719351,34
guide,1.3614846,-0.517954,51
limited,0.24644524,-0.249653,13
travel,0.5225366,-0.14069228,23
more,1.6635939,0.021697706,33
heading,1.5224622,-0.28649208,52
aclu,0.8524734,0.5098425,35
walk,0.56701136,-0.095812924,14
tool,2.3710694,0.20817111,35
tradeshow,0.5697822,0.0014633923,13
demo,2.1920075,0.11100293,58
realtime,0.33977878,0.14134334,12
listening,1.6862665,0.11090732,34
pick,1.189394,-0.101454064,22
grab,1.262593,-0.099644214,29
quick,0.7464734,-0.10062807,12
barry,1.033716,-0.062151734,24
diller,1.309883,0.0018833411,36
lunch,0.7276927,-0.20035875,14
hotel,0.98787755,-0.12560438,16
seriously,0.37393865,0.0463442,11
lost,1.8251376,-0.1433213,37
schedule,1.4333733,0.018793765,33
ready,2.5949688,0.10063352,69
rumored,-0.059667487,0.2919065,20
went,1.4671572,-0.04518536,23
folk,1.7170331,-0.102928415,37
learn,1.3779169,-0.07300437,22
security,1.0872079,-0.1704415,28
work,3.4050393,-0.078583926,83
development,0.7780426,0.061667282,20
developer,2.62218,-0.020051178,63
winning,2.1395135,-0.18026453,61
picture,1.0907756,-0.2688916,27
spent,0.8988815,-0.006445575,17
used,2.4111633,-0.009674062,42
couple,0.3014928,0.005266264,11
city,1.8862244,-0.1824064,27
block,2.3038228,-1.0009881,69
behind,1.9125748,-0.029899081,29
email,0.9575851,0.02024944,15
give,3.0666463,-0.16557847,68
song,1.9714513,-0.08107083,32
million,1.6268016,0.30523,43
available,2.1338356,-0.09016498,66
please,2.45826,-0.05440416,76
le,0.8454949,-0.06682174,21
announce,0.37123477,0.14924684,11
detail,2.4214485,-0.1865819,70
giveaway,1.7448797,-0.08075796,38
wild,0.6361367,-0.019862015,12
queue,0.9274104,-0.37459108,30
course,0.5211395,-0.034387153,22
keynote,1.3120446,0.10463429,27
credit,0.77915907,-0.03890925,19
click,0.46340382,0.019377563,11
purchase,0.67926997,-0.14744307,16
having,0.52744675,0.06776354,17
texas,1.9174063,-0.15997703,45
southwest,0.23778047,0.12918742,19
sweet,1.3355834,-0.14439772,28
ballroom,1.0929216,0.0435969,33
mile,0.8957934,0.102613576,19
driving,0.3754887,0.03179393,11
navigation,1.9374081,0.10755033,51
longer,0.44843638,-0.16318831,14
extra,0.8754446,-0.11453902,14
cross,0.9159243,-0.036590863,13
facebook,3.788036,1.2901078,98
step,1.1578355,-0.073480435,21
strategy,1.8297403,0.34127584,31
street,3.1109805,-0.2559457,61
girl,1.6182758,-0.11585103,22
juice,1.7229007,-0.18137917,26
track,2.1280875,-0.3374654,50
busy,0.8265971,-0.13307449,19
week,3.6089497,-0.2624316,104
believe,0.65476394,-0.13391626,19
plan,1.4022266,0.053232737,35
there,2.9477975,-0.30841094,77
sixth,0.08978398,-0.26707548,14
told,0.5906415,-0.08263475,11
ride,0.8785485,-0.08426893,22
tablet,2.6488314,-0.14145099,61
every,2.970005,-0.16352865,67
single,0.30859157,-0.06753562,11
response,0.82128406,-0.038768806,12
picked,0.5848905,-0.06744571,21
mophie,0.7356229,-0.11110049,17
battery,3.0480945,-0.29759637,64
huge,1.6197884,-0.120566934,34
took,1.2519578,-0.23150282,23
trade,1.7829441,-0.12175778,32
rumor,2.852121,-0.43691355,131
preview,1.054026,1.0198834,41
biggest,0.6115675,-0.015811624,15
history,0.57824594,0.005559418,12
gift,0.47649264,-0.083143935,11
retail,1.0930948,-0.38405466,27
release,2.1242387,-0.34955585,52
sound,1.2602131,0.2532814,28
made,3.168297,-0.21552671,68
question,2.131206,0.05265878,35
inside,0.62775385,0.020097047,14
fire,0.715439,-0.030951912,14
issue,1.5605594,-0.028293487,23
catch,1.3905135,-0.081852615,24
missed,0.7984175,0.04001567,19
lady,0.84985805,-0.079002514,16
holding,1.255095,-0.10726805,18
beer,0.7272576,-0.0038681573,14
back,3.9386399,-0.16801064,85
wish,1.6825002,-0.07715733,39
stupid,0.8962271,0.105067596,20
america,1.8703953,0.10703471,29
sign,1.8976339,-0.13903256,38
brilliant,1.5988538,-0.38711068,35
presentation,1.8899156,0.15250826,54
sitting,0.9985961,-0.048696633,25
lounge,1.379685,-0.18442929,29
others,1.7727504,-0.29684418,70
came,0.8899146,-0.11500946,15
playing,1.9927298,-0.124283545,40
random,0.9036286,-0.1021897,14
genius,1.4981297,-0.22044773,31
salon,0.5632503,-0.03813191,14
chrome,0.8954135,-0.023409564,16
announces,0.51921606,-0.017713485,15
solution,0.49627972,0.046582207,12
announcing,0.3213391,0.19731347,12
joke,0.41290274,0.008694153,13
camera,2.571819,-0.12737054,40
anything,1.2885597,-0.027400717,26
found,1.8828409,-0.28676453,40
live,2.5426502,-0.091687396,76
rsvp,0.36827832,-0.08064488,11
screen,3.163271,-0.18147036,46
missing,0.48319414,-0.005104826,13
nut,-0.16881219,-0.02124669,11
packed,1.3482289,-0.065893136,28
built,1.9333868,-0.16379377,35
temp,1.8825005,-1.5116622,78
something,2.5414941,0.08286438,46
near,0.8422907,-0.18859619,20
keep,3.2291322,-0.10125656,68
surprise,0.76581264,-0.20167857,20
technews,-0.1407813,-0.040972613,15
head,1.8691809,-0.2794405,53
set,1.2435417,-0.84568125,35
example,1.312082,-0.07040122,21
pretty,1.7072538,0.017276214,36
save,1.05405,-0.27522603,29
true,1.5200158,-0.11417639,39
special,1.0361278,-0.27,27
makeshift,0.088544644,-0.2302832,11
shit,0.6389413,-0.042606868,13
control,1.6057302,-0.0019467908,23
go,0.7697455,-0.20997567,22
view,2.2420492,0.11249508,48
close,0.37921992,-0.22407663,16
software,0.60368806,-0.032919876,12
working,2.2036352,0.056878548,51
data,3.6837518,0.018685173,55
verizon,1.761381,-0.044386305,26
customer,1.4277283,-0.15593489,25
outside,1.2535506,-0.6156432,42
much,3.7351456,-0.15406103,68
arrived,0.1995708,-0.09181836,14
client,0.6402066,-0.03709166,13
spend,0.54093975,-0.041335996,11
setting,1.0283774,-0.5006507,33
computer,0.68138367,0.100347936,22
hate,0.642987,-0.02448445,12
hilton,1.4371632,-0.089976385,33
room,2.8682647,-0.04722885,58
technology,2.8521595,-0.6334573,92
square,0.62153476,-0.12820356,14
test,1.335986,-0.08378328,30
potential,0.5946862,-0.07947361,11
product,4.8582234,1.4651089,167
shop,3.6472445,-2.3120384,145
core,1.533848,-1.1684699,48
action,2.2437515,-0.9036601,67
better,2.7451494,-0.08338309,70
even,3.8266227,-0.7568206,108
job,1.070104,-0.05122469,16
doodle,2.1578052,0.21007882,35
googledoodle,0.6671033,-0.01710412,12
crowd,2.1084387,-0.09192656,46
crazy,1.0292467,-0.19913366,30
deal,1.8282907,0.06288534,30
woman,0.9109656,-0.025823146,20
macbook,1.8859739,-0.22107947,30
everywhere,1.1137109,-0.007034248,33
attendee,2.0499814,-0.29652607,47
code,3.7102044,0.02917767,85
reader,1.2705348,-0.027012214,16
image,1.179957,-0.015562505,15
badge,1.1779103,-0.09174551,24
march,1.8390796,-0.054652564,35
spotted,0.15643604,0.03179718,11
yelp,0.9616973,0.13627936,16
lego,1.2012825,0.0861665,15
might,2.1591163,0.17587984,55
standing,0.9571277,-0.29982638,25
early,1.1237621,-0.19695535,24
result,1.3381835,0.115160525,28
learned,0.4268775,0.0367863,11
interrupt,0.8521844,0.15463214,26
regularly,0.9143647,0.35054702,26
scheduled,1.2956561,0.49586794,29
geek,3.7937202,0.6271255,83
programming,0.6388796,0.8465115,26
watch,1.3491639,0.1380092,39
yeah,0.35501093,0.06260749,15
celebrate,0.6524379,-0.120661646,12
html,2.1055436,-0.061852697,34
microsoft,2.0842288,-0.111291826,35
enough,0.9435345,-0.058857217,20
nexus,0.6086226,-0.047242764,12
seems,1.8255478,-0.1700786,35
gave,1.968036,-0.4017178,49
money,1.7112981,-0.3087968,49
relief,1.9119996,0.09344706,59
networking,0.052567624,0.29428878,14
improve,0.6027342,0.025473466,16
meetup,1.822831,-0.09829405,35
beyond,1.036594,0.033199307,21
sharing,1.2606138,0.19808675,24
mistake,0.71921116,-0.021552488,22
bringing,1.0690037,-0.10774126,18
bing,3.9392247,0.87202436,115
shot,1.2239516,-0.03796895,24
success,1.0528972,0.06825444,19
qagb,1.5851657,0.34729245,50
dashboard,0.17922771,0.043245215,12
hoot,0.257428,0.019641096,13
buying,1.2542347,-0.20292063,23
present,0.9724252,0.056768313,19
app,0.4991184,0.030083487,20
saturday,0.4005858,-0.059529375,11
giant,0.78109914,-0.08292904,16
lose,0.5349292,-0.009989977,13
living,1.2411875,0.63561815,28
meeting,0.95758855,-0.12009991,22
hello,0.74507636,-0.078065574,19
dont,0.61776465,0.13893487,14
miss,0.57400304,0.0058947867,23
booth,3.6607447,-0.22872804,103
exhibit,0.5186546,-0.012224907,20
hall,0.82585776,-0.11382932,23
session,4.115486,0.24760455,125
daily,2.3791761,-0.25182018,39
hacker,0.6728111,0.053254414,17
plenty,1.6662589,0.73304063,42
across,0.74881405,0.0155723,19
hear,1.7364179,0.024636915,39
min,0.6017903,-0.09767605,13
designing,3.1340053,-0.12786138,85
interface,2.5451145,-0.0454,59
schema,0.983193,-0.0040701916,28
guess,0.8666742,-0.058706112,24
leaving,0.4523184,0.027223377,15
among,0.46481013,0.0698379,16
instead,2.1883368,-0.09824616,39
crew,0.5007996,-0.22637805,14
article,0.85751665,0.018989036,18
send,0.97164094,-0.038341235,21
hold,0.94240665,-0.026145563,15
secret,0.6225301,0.42988595,18
attend,1.094636,0.2393712,23
later,0.62493813,0.4881572,21
excellent,0.10845491,-0.006307072,11
lucky,0.28033873,0.010896718,13
building,1.907749,-0.13325645,51
netflix,0.7206622,0.011370558,22
league,0.9236363,0.09476664,22
extraordinary,1.0660067,0.029048467,22
tapworthy,2.1282678,-0.0728772,54
hiring,0.24178119,0.05214526,11
taking,2.7755969,-0.16224195,51
lot,1.585513,0.104937814,34
call,2.5521078,-0.0020377208,42
cnn,0.043045133,0.071138576,12
offer,1.3355801,0.15145528,34
forget,1.4917005,-0.10124878,31
startup,2.4086053,-0.025154019,43
button,1.1053655,-0.051804107,17
sampler,1.4269875,-0.35982347,53
killer,1.054149,0.26170522,28
bigger,0.77197397,-0.02717606,19
sorry,0.40271142,-0.018422376,11
guy,2.058135,0.029068813,45
hashable,0.336915,0.0116563905,13
anywhere,1.0483577,-0.15042122,19
groundlink,0.56067574,-0.07804096,16
dwnld,0.32779545,-0.07411901,11
before,0.9925919,-0.5350895,42
begin,1.9791813,-0.6820411,58
past,0.9495912,-0.044199847,18
techcrunch,0.2125263,-0.07688804,13
gonna,1.3061903,-0.2179725,28
charging,1.089194,-0.14253242,20
everyone,3.432926,-0.35180438,89
making,2.5415375,-0.15994887,50
brand,2.5660853,-0.1019659,35
disc,0.8193534,0.044258595,14
most,0.32952058,-0.037414208,12
popular,0.89225763,-0.004994376,12
speakeasy,0.4806415,0.0036138773,13
coverage,0.78942335,-0.042969383,13
stream,1.0249118,-0.16550955,27
spot,0.94191045,-0.09145398,24
hotpot,2.8159466,0.56855905,62
follower,0.5678434,0.020753365,12
socialmedia,0.9091435,0.5394765,33
list,1.6022761,-0.05145347,26
suggestion,0.2812893,-0.032645594,13
friday,1.4168662,-0.5062476,35
saving,2.1491077,0.19170938,47
explorer,0.46045715,-0.049358718,15
public,0.6416785,0.039894007,14
note,2.1748302,-0.12469407,33
front,2.117925,-0.4839087,47
since,1.4205062,-0.24664773,29
apparently,0.86403465,-0.03666794,25
becoming,0.6906469,-0.032490727,12
artist,2.0446339,-0.15373905,46
torrent,0.5335643,-0.052703403,11
contextual,1.602109,0.27868065,30
valuable,0.5844186,0.015651645,13
touch,1.1262953,0.010811901,18
employee,0.82362044,-0.3333434,20
prize,1.0936592,-0.12548544,19
gearing,0.14898412,0.02238986,13
create,1.1695149,-0.075870946,19
maggie,0.91315484,0.078986354,25
word,0.7104757,0.025003659,19
full,2.1205716,-0.2068589,40
tell,2.1201568,-0.028844904,45
kindle,0.9344561,0.014270834,13
source,1.0221068,-0.109106146,21
window,1.4903288,-0.19094616,28
score,0.32797804,-0.089627065,12
survival,0.40342006,-0.050501984,11
ipod,1.3989494,0.016759813,25
device,2.879435,-0.013512981,58
when,0.6754819,0.06593967,20
feature,2.253615,0.19779164,42
let,0.39711526,-0.02796878,11
text,1.2233785,0.057052013,22
updated,0.8154561,0.23327622,30
happen,0.3150907,0.062187765,11
never,1.9849718,-0.06659192,35
super,1.2255092,0.0967729,21
privacy,1.2081829,0.23622571,24
consumer,1.166731,0.09922824,16
without,1.6659864,-0.041734397,41
ranking,2.652298,0.483091,57
saying,0.57761663,-0.048207544,16
direction,0.9265382,-0.051009282,15
walked,0.82584196,-0.122148275,15
connected,0.4134425,-0.044297505,14
latest,0.5117993,0.13617554,20
page,2.0170991,0.017958947,32
tattoo,0.7235702,-0.08722419,21
bring,1.8880306,-0.05956577,39
about,1.2503047,-0.08031528,24
magazine,0.8475388,0.033867676,26
half,0.6255753,-0.06840299,13
dude,1.9249996,-0.26184666,37
recommendation,1.0251113,0.14074989,24
nothing,1.106648,-0.1448854,28
officially,0.46498102,0.041665524,13
invite,0.60653186,0.07442669,13
gone,0.59261304,0.01823392,12
soon,1.5771686,0.38219336,33
story,2.2203019,-0.027029904,37
logo,0.5641207,-0.05971135,12
little,1.1602542,-0.20339218,23
charge,1.5791129,-0.1248901,26
donating,0.71322566,0.002838561,12
spending,0.5337554,-0.09127251,13
released,0.8519862,0.13066007,21
hmmm,0.09776122,0.14548938,12
glad,0.5775888,-0.042695627,15
feeling,0.45771125,-0.058845006,12
totally,0.6514299,-0.011110758,16
light,1.0467122,-0.03866627,16
showing,1.5176063,0.3816555,40
moment,0.66422445,-0.03234226,14
small,0.93146694,0.0035790494,16
startupbus,0.6542386,0.023843158,16
door,0.15283896,-0.10351892,16
interview,1.4093858,0.03127188,28
